user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
2,52.0,14.0,6.0,43.0,3.0,33.0,0.0,29.0,41.0,2.0,18.0,34.0,9.0,6.0
4,40.0,2.0,4.0,28.0,0.0,14.0,0.0,20.0,24.0,0.0,6.0,6.0,0.0,2.0
5,24.0,8.0,18.0,24.0,0.0,30.0,0.0,22.0,14.0,2.0,14.0,26.0,4.0,6.0
7,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
9,16.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0
12,6.0,2.0,0.0,8.0,0.0,4.0,0.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0
16,12.0,8.0,0.0,6.0,0.0,8.0,0.0,8.0,12.0,0.0,0.0,3.0,0.0,3.0
17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
22,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
23,4.0,2.0,0.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
25,14.0,0.0,2.0,10.0,0.0,2.0,0.0,4.0,12.0,0.0,0.0,6.0,0.0,2.0
26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
28,18.0,2.0,2.0,14.0,0.0,8.0,0.0,12.0,18.0,0.0,6.0,0.0,0.0,0.0
29,2.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
30,2.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
33,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
34,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
35,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
36,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
38,6.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
39,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
40,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
41,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
44,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
45,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
46,8.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
47,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0
48,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0
49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
