COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
ML0201EN,robots are coming  build iot apps with watson  swift  and node red,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ML0122EN,accelerating deep learning with gpu,0,1,0,0,0,1,0,1,0,0,0,0,0,0
GPXX0ZG0EN,consuming restful services using the reactive jax rs client,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RP0105EN,analyzing big data in r using apache spark,1,0,0,1,0,0,0,0,1,0,1,0,0,0
GPXX0Z2PEN,containerizing  packaging  and running a spring boot application,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CNSC02EN,cloud native security conference  data security,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DX0106EN,data science bootcamp with r for university proffesors,0,0,0,0,0,0,0,1,0,0,1,0,0,0
GPXX0FTCEN,learn how to use docker containers for iterative development,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RAVSCTEST1,scorm test course,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPXX06RFEN,create your first mongodb database,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPXX0SDXEN,testing microservices with the arquillian managed container,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CC0271EN,cloud pak for integration essentials,1,0,1,0,0,0,0,0,0,0,0,0,0,0
WA0103EN,watson analytics for social media,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DX0108EN,data science bootcamp with python for university professors  advance,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GPXX0PICEN,create a cryptocurrency trading algorithm in python,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DAI101EN,data   ai essentials,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GPXX0W7KEN,securing java microservices with eclipse microprofile json web token  microprofile jwt ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GPXX0QR3EN,enabling distributed tracing in microservices with zipkin,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BD0145EN,sql access for hadoop,1,0,0,0,0,0,0,0,1,0,0,0,0,0
HCC105EN,ybrid cloud conference  ai pipelines lab,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE0205EN,dataops methodology,1,0,0,0,0,0,0,0,0,0,0,1,0,0
DS0132EN,data   ai  jumpstart your journey,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OS0101EN,introduction to open source,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DS0201EN,end to end data science on cloudpak for data,0,0,1,0,0,0,0,1,0,0,0,0,0,0
BENTEST4,ai for everyone  master the basics,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CC0210EN,serverless computing using cloud functions   developer i,0,0,1,0,0,0,0,0,0,0,0,1,0,0
PA0103EN,predicting customer satisfaction,0,0,0,0,0,1,0,1,0,0,0,0,0,0
HCC104EN,hybrid cloud conference serverless lab,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GPXX0A1YEN,validating constraints for javabeans in java microservices,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TMP0105EN,getting started with the data  apache spark makers build,1,0,0,1,0,0,0,0,1,0,0,0,0,0
PA0107EN,predicting financial performance of a company,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DB0113EN,db2 fundamentals i,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PA0109EN,using clustering methods for investment portfolio analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PHPM002EN,php web application on a lamp stack,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GPXX03HFEN,fundamentals of javascript through rock paper scissors,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RP0103,using r with databases,1,0,0,0,0,0,0,0,0,0,1,0,0,0
RP0103EN,using r with databases,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BD0212EN,spark fundamentals ii,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GPXX0IBEN,data science in insurance  basic statistical analysis ,0,0,0,1,0,1,0,1,0,0,0,0,0,0
SECM03EN,apply end to end security to a cloud application,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SC0103EN,spark overview for scala analytics,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GPXX0YXHEN,testing a microprofile or jakarta ee application using microshed testing with an open liberty docker container,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP0151EN,r 101,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TA0105,text analytics 101,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SW0201EN,how to build watson ai and swift apis and make money,0,0,1,0,0,1,0,0,0,0,0,1,0,0
TMP0106,tmp data science bootcamp,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GPXX0BUBEN,insurance risk assessment with montecarlo method using apache spark ,0,0,0,0,0,1,0,0,1,0,0,0,0,0
ST0201EN,statistics 201,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ST0301EN,statistics 301,0,0,0,1,0,0,0,0,0,0,0,0,0,0
